Episode 317/500, total reward: 225.18181818181915
Episode 318/500, total reward: 161.24693140794386
Episode 319/500, total reward: 87.3894736842113
Episode 320/500, total reward: 66.47609427609497
Episode 321/500, total reward: -0.008049535603709773
Episode 322/500, total reward: 56.36610169491512
Episode 323/500, total reward: 20.27179487179466
Episode 324/500, total reward: -0.15068493150684206
Episode 325/500, total reward: -0.15068493150684206
Episode 326/500, total reward: 80.46315789473759
Episode 327/500, total reward: 219.5697841726653
Episode 328/500, total reward: 255.2370370370346
Episode 329/500, total reward: 13.450980392156765
Episode 330/500, total reward: 51.74736842105235
Episode 331/500, total reward: -0.1993399339933927
Episode 332/500, total reward: 67.95118110236275
Episode 333/500, total reward: -0.1209726443768947
Episode 334/500, total reward: 16.174100719424285
Episode 335/500, total reward: 173.0952380952401
Episode 336/500, total reward: 67.1090909090914
Episode 337/500, total reward: 26.103797468354244
Episode 338/500, total reward: 71.86315789473801
Episode 339/500, total reward: 209.8083623693395
Episode 340/500, total reward: 127.30337078651797
Episode 341/500, total reward: 30.06887417218521
Episode 342/500, total reward: 9.568794326241045
Episode 343/500, total reward: 213.0000000000012
Episode 344/500, total reward: -0.05714285714284828
Episode 345/500, total reward: 104.69121338912227
Episode 346/500, total reward: 60.80925266903945
Episode 347/500, total reward: 106.04615384615582
Episode 348/500, total reward: 30.949367088607318
Episode 349/500, total reward: 135.21971830986152
Episode 350/500, total reward: 436.16825396824765
Episode 351/500, total reward: 35.430188679245106
Episode 352/500, total reward: 140.7323262839894
Episode 353/500, total reward: 88.70075187970026
Episode 354/500, total reward: -0.07958477508649708
Episode 355/500, total reward: 21.331707317072905
Episode 356/500, total reward: 23.225157232704206
Episode 357/500, total reward: -0.04262295081966558
Episode 358/500, total reward: 62.87811447811589
Episode 359/500, total reward: 13.220779220779129
Episode 360/500, total reward: 45.71570247933861
Episode 361/500, total reward: 21.026523297490833
Episode 362/500, total reward: 1.2739811912226084
Episode 363/500, total reward: 135.9521885521908
Episode 364/500, total reward: -0.01132075471699176
Episode 365/500, total reward: 15.316167664670386
Episode 366/500, total reward: 77.47349823321633
Episode 367/500, total reward: 19.020895522387892
Episode 368/500, total reward: 14.602826855123364
Episode 369/500, total reward: 19.34842767295553
Episode 370/500, total reward: 139.78265895953857
Episode 371/500, total reward: 130.66153846153955
Episode 372/500, total reward: 56.62238267148034
Episode 373/500, total reward: 78.72961672473924
Episode 374/500, total reward: -0.11103678929765215
Episode 375/500, total reward: -0.010223642172517894
Episode 376/500, total reward: 13.26557377049162
Episode 377/500, total reward: 34.88333333333315
Episode 378/500, total reward: 22.331707317072897
Episode 379/500, total reward: 22.674999999999734
Episode 380/500, total reward: 37.40377358490546
Episode 381/500, total reward: 14.353993610223542
Episode 382/500, total reward: 28.46666666666647
Episode 383/500, total reward: 32.618320610686865
Episode 384/500, total reward: 16.335099337748083
Episode 385/500, total reward: 16.64556962025302
Episode 386/500, total reward: 26.10526315789457
Episode 387/500, total reward: 23.642857142856904
Episode 388/500, total reward: 46.668493150684796
Episode 389/500, total reward: 108.14420062696092
